iter	Passed	Remaining
162	221	1135
163	222	1133
164	223	1132
165	225	1130
166	226	1129
167	228	1129
168	229	1128
169	231	1128
170	232	1126
171	234	1126
172	235	1126
173	237	1125
174	238	1124
175	240	1124
176	241	1123
177	243	1124
178	245	1124
179	246	1124
180	248	1123
181	249	1122
182	250	1120
183	252	1118
184	253	1116
185	254	1115
186	256	1114
187	257	1114
188	259	1114
189	261	1114
190	262	1112
191	264	1113
192	265	1112
193	267	1111
194	268	1110
195	270	1109
196	271	1108
197	273	1107
198	275	1107
199	276	1105
200	277	1104
201	279	1102
202	280	1100
203	281	1098
204	282	1097
205	284	1095
206	285	1094
207	287	1093
208	288	1093
209	290	1092
210	291	1091
211	293	1089
212	294	1088
213	295	1086
214	297	1085
215	298	1083
216	299	1082
217	301	1080
218	303	1080
219	304	1080
220	306	1079
221	307	1078
222	309	1078
223	311	1077
224	312	1077
225	314	1076
226	315	1075
227	317	1074
228	319	1074
229	321	1074
230	322	1073
231	324	1073
232	325	1071
233	327	1070
234	328	1069
235	329	1068
236	331	1066
237	333	1066
238	334	1065
239	336	1064
240	337	1063
241	339	1061
242	340	1060
243	341	1059
244	343	1057
245	344	1056
246	346	1055
247	348	1055
248	349	1054
249	351	1053
250	352	1052
251	354	1051
252	355	1049
253	356	1048
254	358	1046
255	359	1045
256	361	1044
257	363	1044
258	364	1043
259	366	1043
260	368	1042
261	369	1041
262	371	1040
263	372	1039
264	374	1038
265	375	1037
266	377	1035
267	379	1035
268	380	1034
269	382	1033
270	383	1032
271	385	1030
272	386	1029
273	388	1028
274	389	1027
275	391	1026
276	392	1025
277	394	1025
278	396	1024
279	398	1023
280	399	1022
281	401	1021
282	402	1020
283	404	1019
284	405	1017
285	407	1017
286	409	1016
287	411	1017
288	413	1018
289	415	1016
290	416	1015
291	418	1014
292	420	1014
293	421	1012
294	423	1012
295	425	1011
296	427	1011
297	429	1011
298	431	1010
299	432	1010
300	434	1009
301	436	1008
302	438	1008
303	440	1009
304	442	1008
305	444	1007
306	446	1007
307	447	1005
308	449	1005
309	451	1004
310	453	1004
311	455	1003
312	456	1003
313	458	1002
314	460	1001
315	461	999
316	463	998
317	465	997
318	466	996
319	469	996
320	470	996
321	472	995
322	474	993
323	476	993
324	477	992
325	479	991
326	480	989
327	482	988
328	484	988
329	486	987
330	487	986
331	489	985
332	491	983
333	492	982
334	494	980
335	495	979
336	497	978
337	498	977
338	500	976
339	502	975
340	504	974
341	505	972
342	507	971
343	508	970
344	510	968
345	511	967
346	513	966
347	515	966
348	517	965
349	518	963
350	520	962
351	522	961
352	524	960
353	525	959
354	527	957
355	529	957
356	531	956
357	532	955
358	534	954
359	535	952
360	537	951
361	538	949
362	540	948
363	542	947
364	544	947
365	546	946
366	548	945
367	549	943
368	551	942
369	552	940
370	554	939
371	555	938
372	557	937
373	559	936
374	561	935
375	563	934
376	564	932
377	566	931
378	567	930
379	569	929
380	570	927
381	573	927
382	575	926
383	576	925
384	578	923
385	580	922
386	581	921
387	583	919
388	584	918
389	586	917
390	588	916
391	590	916
392	592	915
393	595	915
394	596	913
395	598	912
396	599	911
397	601	909
398	604	910
399	606	909
400	608	908
401	609	907
402	611	905
403	612	903
404	614	902
405	615	900
406	617	899
407	619	898
408	621	898
409	623	897
410	625	895
411	626	894
412	627	892
413	629	890
414	630	889
415	632	888
416	635	887
417	637	887
418	638	885
419	640	884
420	641	882
421	643	880
422	644	879
423	645	877
424	647	875
425	649	875
426	651	873
427	652	871
428	653	870
429	655	868
430	656	867
431	658	865
432	659	863
433	661	862
434	662	860
435	664	859
436	666	858
437	667	856
438	669	855
439	670	853
440	672	851
441	673	850
442	674	848
443	676	847
444	678	845
445	680	845
446	682	844
447	684	842
448	685	841
449	687	839
450	688	838
451	689	836
452	691	834
453	693	833
454	694	832
455	696	830
456	697	828
457	699	827
458	700	825
459	701	823
460	703	822
461	704	820
462	706	819
463	707	817
464	709	816
465	711	814
466	712	813
467	714	811
468	715	810
469	716	808
470	718	806
471	719	805
472	721	803
473	723	802
474	724	800
475	726	799
476	727	797
477	728	796
478	730	794
479	732	793
480	733	791
481	734	789
482	736	788
483	738	787
484	739	785
485	741	783
486	742	782
487	744	780
488	745	779
489	747	777
490	748	775
491	749	774
492	751	772
493	753	771
494	754	769
495	756	768
496	757	766
497	759	765
498	760	763
499	762	762
500	763	760
501	765	759
502	766	757
503	768	756
504	769	754
505	771	753
506	773	751
507	774	750
508	776	748
509	777	747
510	778	745
511	780	743
512	782	742
513	783	741
514	786	740
515	788	739
516	789	737
517	790	735
518	792	734
519	793	732
520	794	730
521	796	729
522	798	728
523	799	726
524	801	725
525	803	723
526	804	722
527	806	720
528	807	719
529	809	717
530	811	716
531	813	715
532	815	714
533	817	712
534	818	711
535	819	709
536	821	708
537	822	706
538	823	704
539	825	703
540	827	701
541	828	700
542	830	698
543	832	697
544	833	695
545	834	693
546	835	692
547	837	690
548	838	689
549	840	687
550	842	686
551	843	684
552	845	683
553	846	681
554	847	679
555	849	678
556	850	676
557	851	674
558	852	672
559	854	671
560	855	669
561	857	667
562	858	666
563	859	664
564	861	662
565	862	661
566	863	659
567	864	657
568	866	656
569	867	654
570	868	652
571	870	651
572	872	649
573	873	648
574	874	646
575	876	644
576	877	643
577	878	641
578	879	639
579	881	638
580	882	636
581	883	634
582	885	633
583	886	631
584	888	630
585	889	628
586	890	626
587	892	625
588	893	623
589	894	621
590	895	620
591	897	618
592	898	616
593	900	615
594	901	613
595	903	612
596	904	610
597	905	608
598	907	607
599	908	605
600	909	603
601	910	602
602	912	600
603	913	598
604	915	597
605	916	595
606	917	594
607	919	592
608	920	591
609	921	589
610	923	587
611	924	585
612	925	584
613	927	582
614	928	581
615	930	579
616	931	578
617	932	576
618	934	574
619	935	573
620	936	571
621	937	570
622	939	568
623	940	566
624	942	565
625	943	563
626	945	562
627	946	560
628	948	559
629	949	557
630	950	555
631	951	554
632	953	552
633	954	550
634	955	549
635	956	547
636	958	546
637	959	544
638	961	543
639	962	541
640	963	539
641	965	538
642	966	536
643	967	534
644	968	533
645	970	531
646	971	530
647	972	528
648	974	526
649	975	525
650	978	524
651	979	522
652	981	521
653	982	519
654	983	518
655	985	516
656	986	514
657	987	513
658	989	511
659	990	510
660	991	508
661	993	507
662	994	505
663	996	504
664	997	502
665	999	501
666	1000	499
667	1001	497
668	1003	496
669	1005	495
670	1006	493
671	1008	492
672	1009	490
673	1010	488
674	1012	487
675	1013	485
676	1014	484
677	1016	482
678	1017	481
679	1019	479
680	1021	478
681	1022	476
682	1023	475
683	1024	473
684	1026	471
685	1027	470
686	1028	468
687	1030	467
688	1031	465
689	1033	464
690	1034	462
691	1036	461
692	1037	459
693	1038	458
694	1039	456
695	1041	454
696	1042	453
697	1043	451
698	1045	450
699	1046	448
700	1047	446
701	1049	445
702	1051	444
703	1052	442
704	1053	440
705	1055	439
706	1056	437
707	1057	436
708	1059	434
709	1060	433
710	1061	431
711	1063	430
712	1065	428
713	1066	427
714	1067	425
715	1068	424
716	1070	422
717	1071	420
718	1072	419
719	1074	417
720	1075	416
721	1077	414
722	1078	413
723	1079	411
724	1081	410
725	1082	408
726	1083	406
727	1084	405
728	1086	403
729	1087	402
730	1088	400
731	1090	399
732	1091	397
733	1093	396
734	1094	394
735	1095	393
736	1097	391
737	1098	389
738	1099	388
739	1100	386
740	1102	385
741	1103	383
742	1104	382
743	1106	380
744	1107	379
745	1109	377
746	1110	376
747	1112	374
748	1113	373
749	1114	371
750	1116	370
751	1117	368
752	1118	366
753	1119	365
754	1121	363
755	1123	362
756	1124	360
757	1125	359
758	1127	357
759	1128	356
760	1129	354
761	1131	353
762	1132	351
763	1133	350
764	1134	348
765	1136	347
766	1138	345
767	1139	344
768	1140	342
769	1142	341
770	1143	339
771	1144	338
772	1146	336
773	1147	335
774	1148	333
775	1150	331
776	1151	330
777	1153	329
778	1154	327
779	1156	326
780	1157	324
781	1158	323
782	1160	321
783	1161	320
784	1162	318
785	1164	316
786	1166	315
787	1168	314
788	1169	312
789	1170	311
790	1171	309
791	1173	308
792	1174	306
793	1175	305
794	1177	303
795	1178	302
796	1179	300
797	1181	299
798	1183	297
799	1184	296
800	1186	294
801	1187	293
802	1189	291
803	1190	290
804	1191	288
805	1192	287
806	1194	285
807	1195	284
808	1197	282
809	1199	281
810	1200	279
811	1201	278
812	1203	276
813	1204	275
814	1205	273
815	1207	272
816	1208	270
817	1209	269
818	1211	267
819	1213	266
820	1214	264
821	1216	263
822	1217	261
823	1218	260
824	1220	258
825	1221	257
826	1222	255
827	1224	254
828	1226	253
829	1228	251
830	1230	250
831	1231	248
832	1232	247
833	1234	245
834	1235	244
835	1237	242
836	1238	241
837	1239	239
838	1241	238
839	1243	236
840	1245	235
841	1246	233
842	1247	232
843	1249	230
844	1250	229
845	1251	227
846	1253	226
847	1254	224
848	1256	223
849	1258	222
850	1260	220
851	1261	219
852	1262	217
853	1264	216
854	1265	214
855	1267	213
856	1268	211
857	1270	210
858	1272	208
859	1274	207
860	1275	205
861	1277	204
862	1278	202
863	1279	201
864	1281	199
865	1282	198
866	1285	197
867	1287	195
868	1289	194
869	1290	192
870	1291	191
871	1293	189
872	1294	188
873	1296	186
874	1297	185
875	1299	183
876	1301	182
877	1302	181
878	1304	179
879	1306	178
880	1318	178
881	1319	176
882	1321	175
883	1322	173
884	1323	172
885	1325	170
886	1327	169
887	1329	167
888	1330	166
889	1332	164
890	1334	163
891	1336	161
892	1337	160
893	1338	158
894	1340	157
895	1342	155
896	1344	154
897	1345	152
898	1348	151
899	1350	150
900	1351	148
901	1353	147
902	1354	145
903	1356	144
904	1358	142
905	1360	141
906	1362	139
907	1364	138
908	1365	136
909	1366	135
910	1368	133
911	1370	132
912	1371	130
913	1373	129
914	1375	127
915	1377	126
916	1379	124
917	1381	123
918	1382	121
919	1383	120
920	1385	118
921	1387	117
922	1389	115
923	1391	114
924	1393	112
925	1394	111
926	1396	109
927	1397	108
928	1398	106
929	1400	105
930	1402	103
931	1404	102
932	1406	101
933	1408	99
934	1409	97
935	1411	96
936	1413	95
937	1415	93
938	1416	92
939	1418	90
940	1420	89
941	1421	87
942	1423	86
943	1424	84
944	1426	83
945	1427	81
946	1429	79
947	1431	78
948	1432	76
949	1434	75
950	1435	73
951	1437	72
952	1438	70
953	1439	69
954	1440	67
955	1442	66
956	1443	64
957	1445	63
958	1446	61
959	1448	60
960	1450	58
961	1451	57
962	1453	55
963	1455	54
964	1456	52
965	1458	51
966	1460	49
967	1461	48
968	1464	46
969	1465	45
970	1466	43
971	1467	42
972	1469	40
973	1470	39
974	1471	37
975	1473	36
976	1475	34
977	1477	33
978	1479	31
979	1480	30
980	1481	28
981	1482	27
982	1484	25
983	1485	24
984	1486	22
985	1488	21
986	1490	19
987	1492	18
988	1493	16
989	1495	15
990	1496	13
991	1497	12
992	1498	10
993	1499	9
994	1501	7
995	1503	6
996	1505	4
997	1506	3
998	1508	1
999	1509	0
